#time,flux,flux_err,residuals
1.518831027623515411e+03,1.006004300000000073e+00,3.340947439614339737e-02,-5.258126415004250875e-02
1.518832416545814567e+03,1.172453500000000037e+00,3.390821280523857728e-02,-1.635954488384796235e-01
1.518833805468113724e+03,2.163501500000000188e+00,3.675946333674322275e-02,2.090766701300159625e-01
1.518835194390413108e+03,2.679253800000000130e+00,3.816860507530686619e-02,-1.208667713922550874e-01
1.518836583312712492e+03,2.703987800000000163e+00,3.822356851154198876e-02,-2.970052941968196608e-02
1.518837972235011648e+03,2.561046800000000179e+00,3.784985802963700824e-02,9.476524556450444114e-02
1.518839361157311487e+03,2.327563300000000002e+00,3.719288876689431228e-02,-9.514003303929277622e-03
1.518840750079610871e+03,2.360979100000000219e+00,3.732490112845254782e-02,6.686946255076547940e-02
1.518842139001909118e+03,2.317322499999999952e+00,3.716377953142493973e-02,6.771430223645777402e-03
1.518843527924207820e+03,2.230647100000000105e+00,3.704941040144856673e-02,-1.193476178062141957e-01
1.518844916846507658e+03,2.196438800000000136e+00,3.682450899399667549e-02,-4.326780282709642017e-02
1.518846305768807497e+03,2.171622000000000163e+00,3.679495422237625407e-02,5.529757089705469864e-02
1.518847694691106199e+03,2.102146400000000082e+00,3.658704608788586332e-02,9.012578573908745783e-02
1.518849083613405355e+03,1.959538800000000025e+00,3.624519406158235868e-02,4.164668644765222305e-02
