#time,flux,flux_err
1332.3003649568595,9.9432468e-01,5.3917444e-03
1332.30175382281,9.9400353e-01,5.4059527e-03
1332.3031426887615,1.0038680e+00,5.3981468e-03
1332.3045315547115,1.0081099e+00,5.4047499e-03
1332.305920420662,1.0008452e+00,5.4039424e-03
1332.3073092865843,9.9874413e-01,5.3964877e-03
1332.3086981525348,1.0014669e+00,5.4036975e-03
1332.3100870184855,9.9279702e-01,5.3949002e-03
1332.3114758844072,9.9833977e-01,5.4020523e-03
1332.3128647503586,9.9953568e-01,5.4132221e-03
1332.314253616309,1.0011327e+00,5.4089488e-03
1332.31564248223,1.0019730e+00,5.3926636e-03
1332.3170313481812,9.9306637e-01,5.3940685e-03
1332.3184202141033,1.0014724e+00,5.3991782e-03
1332.3198090800533,9.9916387e-01,5.4012421e-03
1332.3211979459747,1.0030515e+00,5.4109292e-03
1332.323975677847,9.9931741e-01,5.4004206e-03
1332.3253645437976,9.9900347e-01,5.3912620e-03
1332.32675340972,1.0061580e+00,5.3972765e-03
1332.32814227567,9.9810112e-01,5.3932033e-03
1332.3309200075137,1.0029862e+00,5.4018553e-03
1332.3323088734642,1.0059676e+00,5.3986488e-03
1332.3336977393856,1.0035526e+00,5.3946520e-03
1332.3350866053072,1.0061646e+00,5.4001957e-03
1332.3364754712288,1.0128378e+00,5.4019447e-03
1332.3378643371793,1.0058607e+00,5.3967750e-03
1332.339253203101,1.0077710e+00,5.3959177e-03
1332.3406420690226,1.0114954e+00,5.4156575e-03
1332.3420309349447,9.9757648e-01,5.4000719e-03
1332.3434198008663,9.9698472e-01,5.3915600e-03
1332.344808666787,1.0026566e+00,5.3916043e-03
1332.346197532709,1.0029095e+00,5.4062312e-03
1332.3475863986307,9.9895430e-01,5.3866673e-03
1332.3489752645514,1.0110408e+00,5.3944113e-03
1332.3503641304737,1.0012292e+00,5.3987755e-03
1332.351752996396,1.0009073e+00,5.4131160e-03
1332.3531418623174,1.0019974e+00,5.3942963e-03
1332.354530728239,1.1020703e+00,5.4919533e-03
1332.3559195941607,1.1519628e+00,5.5300919e-03
1332.357308460082,1.1150802e+00,5.5069388e-03
1332.3586973260035,1.0710247e+00,5.4508648e-03
1332.3600861919253,1.0518168e+00,5.4367473e-03
1332.3614750578467,1.0385686e+00,5.4294853e-03
1332.362863923739,1.0298120e+00,5.4217000e-03
1332.3642527896607,1.0267998e+00,5.4173036e-03
1332.3656416555827,1.0330660e+00,5.4192585e-03
1332.3670305215044,1.0285101e+00,5.4106577e-03
1332.368419387396,1.0163028e+00,5.4023927e-03
1332.3698082533183,1.0208118e+00,5.4055909e-03
1332.3725859851315,1.0170426e+00,5.4019317e-03
1332.3739748510538,1.0213969e+00,5.4017687e-03
1332.3753637169762,1.0152122e+00,5.4040626e-03
1332.3767525828678,1.0220772e+00,5.4064067e-03
1332.3781414487894,1.0189370e+00,5.4044826e-03
1332.3795303146824,1.0220283e+00,5.4018614e-03
1332.380919180603,1.0193892e+00,5.3965291e-03
1332.3823080464956,1.0026835e+00,5.3890059e-03
1332.3836969123886,1.0129762e+00,5.3865644e-03
1332.3850857783095,1.0122651e+00,5.3949389e-03
1332.386474644202,1.0220726e+00,5.3948495e-03
1332.3878635101241,9.9856043e-01,5.3808372e-03
1332.3892523760173,1.0086244e+00,5.3923461e-03
1332.3906412419096,1.0086292e+00,5.3905100e-03
1332.3920301078306,1.0093420e+00,5.3848317e-03
1332.3934189737238,1.0096436e+00,5.3856671e-03
1332.394807839616,1.0083952e+00,5.3914567e-03
1332.396196705508,1.0043989e+00,5.3863609e-03
1332.3975855714302,1.0081538e+00,5.3853062e-03
1332.3989744373232,1.0089973e+00,5.3864424e-03
1332.4003633032148,1.0104450e+00,5.3847111e-03
1332.4017521691073,1.0013881e+00,5.3774728e-03
1332.4031410350003,9.9899548e-01,5.3918506e-03
1332.4059187667845,1.0062784e+00,5.3951768e-03
1332.4073076326777,1.0012616e+00,5.3829770e-03
1332.4086964985702,1.0086746e+00,5.3866706e-03
1332.4100853644627,1.0045037e+00,5.3809215e-03
1332.411474230355,1.0115204e+00,5.3881840e-03
1332.4128630962473,1.0099533e+00,5.3836359e-03
1332.4142519621398,1.0053087e+00,5.3900722e-03
1332.4156408280323,9.9764121e-01,5.3786179e-03
1332.4170296939246,1.0043063e+00,5.3769182e-03
1332.418418559817,1.0147839e+00,5.3876070e-03
1332.4198074256806,1.0021483e+00,5.3776004e-03
1332.4211962915729,1.0008544e+00,5.3883679e-03
1332.422585157466,1.0075108e+00,5.3758835e-03
1332.4239740233584,1.0091522e+00,5.3816191e-03
1332.425362889221,1.0025537e+00,5.3773387e-03
1332.426751755114,1.0106306e+00,5.3776177e-03
1332.4281406210066,1.0067132e+00,5.3801620e-03
1332.4295294868698,1.0072356e+00,5.3779846e-03
1332.4323072186553,9.9238080e-01,5.3653154e-03
1332.4350849504112,1.0034926e+00,5.3693606e-03
1332.4364738162744,9.9419546e-01,5.3694961e-03
1332.4378626821667,1.0142649e+00,5.3806901e-03
1332.4392515480301,1.0113105e+00,5.3807297e-03
1332.4406404139227,1.0018137e+00,5.3707031e-03
1332.4420292797868,1.0025852e+00,5.3776810e-03
1332.443418145679,1.0060854e+00,5.3847027e-03
1332.4448070115418,9.9531275e-01,5.3630467e-03
1332.4461958774057,1.0117599e+00,5.3758817e-03
1332.4475847432982,1.0082062e+00,5.3864294e-03
1332.4489736091607,1.0068401e+00,5.3862245e-03
